molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,Canonical_Smiles,MW,LogP,HBD,HBA,pIC50
CHEMBL2051982,IC50,nM,70.0,IC50,M,7E-8,C[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,337.369,-4.354499999999994,9,9,7.154901959985743
CHEMBL2374252,IC50,nM,34000.0,IC50,M,0.000034,OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,313.35,-2.1119999999999974,7,7,4.468521082957745
CHEMBL3349433,IC50,nM,240.0,IC50,M,2.4E-7,OC[C@@]1(O)C[C@H](NCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,289.37199999999996,-1.2652999999999996,6,6,6.619788758288394
CHEMBL1230806,IC50,nM,340000.0,IC50,M,0.00034,N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,175.184,-2.6713,5,5,3.4685210829577446
CHEMBL3349432,IC50,nM,6.1,IC50,M,6.1E-9,OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,291.344,-2.5420999999999982,7,7,8.214670164989233
CHEMBL3349431,IC50,nM,15.0,IC50,M,1.5E-8,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,253.251,-4.233599999999997,7,8,7.823908740944319
CHEMBL3349439,IC50,nM,1600.0,IC50,M,0.0000016,OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,291.344,-2.5420999999999982,7,7,5.795880017344075
CHEMBL3349435,IC50,nM,230.0,IC50,M,2.3E-7,OC[C@@]1(O)C[C@H](NCc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,362.22,-0.8829000000000007,6,6,6.638272163982407
CHEMBL2051983,IC50,nM,4.9,IC50,M,4.9E-9,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,353.368,-4.363999999999995,8,10,8.309803919971486
CHEMBL3349440,IC50,nM,550.0,IC50,M,5.5E-7,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,251.27900000000002,-3.607299999999998,7,7,6.259637310505756
CHEMBL222396,IC50,nM,2200.0,IC50,M,0.0000022,N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,193.199,-3.4765,6,6,5.657577319177793
CHEMBL2051762,IC50,nM,68.0,IC50,M,6.8E-8,C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,337.369,-4.354499999999994,9,9,7.167491087293763
CHEMBL1628264,IC50,nM,110000.0,IC50,M,0.00011,N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,177.20000000000002,-2.5913999999999997,5,5,3.958607314841775
CHEMBL3349436,IC50,nM,5900.0,IC50,M,0.0000059,OCC1=C[C@H](NC(CO)CO)[C@H](O)[C@@H](O)[C@@H]1O,249.263,-3.6871999999999985,7,7,5.229147988357856
CHEMBL2051978,IC50,nM,1500.0,IC50,M,0.0000015,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,336.385,-4.388099999999994,9,9,5.823908740944319
CHEMBL2051981,IC50,nM,72.0,IC50,M,7.2E-8,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,369.367,-5.3915999999999915,9,11,7.142667503568731
CHEMBL3349441,IC50,nM,200.0,IC50,M,2E-7,OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,289.35300000000007,-1.5839000000000005,6,7,6.698970004336019
CHEMBL2374255,IC50,nM,5000.0,IC50,M,0.000005,OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,313.3500000000001,-2.111999999999999,7,7,5.301029995663981
CHEMBL2051763,IC50,nM,7200.0,IC50,M,0.0000072,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,351.35200000000003,-4.586399999999993,8,10,5.142667503568732
CHEMBL3349438,IC50,nM,520.0,IC50,M,5.2E-7,CC(C)=CCC/C(C)=C/CN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,329.437,-0.1529000000000007,6,6,6.2839966563652006
CHEMBL2051760,IC50,nM,650.0,IC50,M,6.5E-7,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,353.368,-4.363999999999995,8,10,6.187086643357144
CHEMBL3349443,IC50,nM,270.0,IC50,M,2.7E-7,OC[C@@]1(O)C[C@H](NC/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,309.3620000000001,-1.1322000000000005,6,6,6.568636235841013
CHEMBL2051979,IC50,nM,80000.0,IC50,M,0.00008,CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,351.35200000000003,-4.586399999999993,8,10,4.096910013008056
CHEMBL2374253,IC50,nM,13.0,IC50,M,1.3E-8,OC[C@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,313.35,-2.1119999999999974,7,7,7.886056647693163
CHEMBL3349446,IC50,nM,330.0,IC50,M,3.3E-7,OC[C@@]1(O)C[C@H](NCc2cccnc2)[C@H](O)[C@@H](O)[C@@H]1O,284.31200000000007,-2.2503999999999986,6,7,6.481486060122113
CHEMBL3349437,IC50,nM,100.0,IC50,M,1E-7,OC[C@@]1(O)C[C@H](NCCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,297.35100000000006,-1.6029,6,6,7.0
CHEMBL3349434,IC50,nM,410.0,IC50,M,4.1E-7,OC[C@@]1(O)C[C@H](NC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,275.34499999999997,-1.5128999999999995,6,6,6.3872161432802645
CHEMBL3349442,IC50,nM,43.0,IC50,M,4.3E-8,CC(C)(C)c1cc(CN[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)cc(C(C)(C)C)c1O,411.53900000000016,0.6552000000000002,7,7,7.366531544420414
CHEMBL2051764,IC50,nM,100000.0,IC50,M,0.0001,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,335.353,-3.5587999999999975,7,9,4.0
CHEMBL2051759,IC50,nM,100.0,IC50,M,1E-7,CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,369.367,-5.3915999999999915,9,11,7.0
CHEMBL307429,IC50,nM,40.0,IC50,uM,0.04,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,163.173,-2.9667999999999988,5,5,7.3979400086720375
CHEMBL380336,IC50,nM,101000.0,IC50,uM,101.0,C=C1CC[C@@H]2[C@]3(C)COC(c4ccccc4)O[C@@H]3CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,438.5640000000003,4.723600000000005,1,5,3.9956786262173574
CHEMBL205969,IC50,nM,101000.0,IC50,uM,101.0,C[C@]1(CO)[C@H]2CC[C@@]3(CO3)[C@@H](/C=C/C3=CC(=C/C=C/c4ccccc4)/OC3=O)[C@]2(C)CC[C@H]1O,462.5860000000003,4.577900000000005,2,5,3.9956786262173574
CHEMBL205155,IC50,nM,120000.0,IC50,uM,120.0,COc1ccc(/C=C2C=C(/C=C/[C@@H]3[C@@]4(CC[C@@H]5[C@](C)(CO)[C@H](O)CC[C@]53C)CO4)C(=O)O/2)cc1,466.5740000000003,4.030300000000003,2,6,3.9208187539523753
CHEMBL209093,IC50,nM,58000.0,IC50,uM,58.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/C=C/c2ccccc2)/OC1=O,446.58700000000016,5.365100000000006,2,4,4.236572006437063
CHEMBL377520,IC50,nM,16000.0,IC50,uM,16.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccc(OC)cc2)/OC1=O,450.5750000000002,4.817500000000004,2,5,4.795880017344075
CHEMBL206309,IC50,nM,110000.0,IC50,uM,110.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/CCC)/OC1=O,386.5320000000002,4.451800000000004,2,4,3.958607314841775
CHEMBL379280,IC50,nM,100000.0,IC50,uM,100.0,C=C1CC[C@@H]2[C@]3(C)COC(c4cccc(Br)c4)O[C@@H]3CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,517.4600000000004,5.486100000000007,1,5,4.0
CHEMBL241374,IC50,nM,100000.0,IC50,uM,100.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccco2)/OC1=O,410.51000000000016,4.401900000000004,2,5,4.0
CHEMBL238604,IC50,nM,84000.0,IC50,uM,84.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2cc(OC)c(OC)cc2OC)/OC1=O,510.62700000000035,4.834700000000005,2,7,4.075720713938118
CHEMBL398800,IC50,nM,82000.0,IC50,uM,82.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccc3c(c2)OCO3)/OC1=O,464.5580000000003,4.537600000000004,2,6,4.086186147616283
CHEMBL377520,IC50,nM,16000.0,IC50,uM,16.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccc(OC)cc2)/OC1=O,450.5750000000002,4.817500000000004,2,5,4.795880017344075
CHEMBL241165,IC50,nM,70000.0,IC50,uM,70.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccc(N(C)C)cc2)/OC1=O,463.6180000000002,4.874900000000005,2,5,4.154901959985743
CHEMBL394049,IC50,nM,11000.0,IC50,uM,11.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C\c2ccc(OC)cc2)/OC1=O,660.7670000000003,7.336900000000009,0,9,4.958607314841775
CHEMBL240080,IC50,nM,36000.0,IC50,uM,36.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccco2)/OC1=O,620.7020000000003,6.921300000000008,0,9,4.443697499232712
CHEMBL437564,IC50,nM,25000.0,IC50,uM,25.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C\c2ccc(N(C)C)cc2)/OC1=O,673.8100000000002,7.394300000000009,0,9,4.6020599913279625
CHEMBL396679,IC50,nM,14000.0,IC50,uM,14.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C\c2cccc(Br)c2)/OC1=O,709.6370000000003,8.090800000000007,0,8,4.853871964321762
CHEMBL394682,IC50,nM,6000.0,IC50,uM,6.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C\c2ccc(Cl)cc2)/OC1=O,665.1860000000003,7.981700000000008,0,8,5.221848749616356
CHEMBL396678,IC50,nM,16000.0,IC50,uM,16.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C\c2ccccc2)/OC1=O,630.7410000000003,7.3283000000000085,0,8,4.795880017344075
CHEMBL396677,IC50,nM,28000.0,IC50,uM,28.0,C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C\C(C)=C\CCC/C=C/C)/OC1=O,676.854,8.863800000000003,0,8,4.552841968657781
CHEMBL238603,IC50,nM,58000.0,IC50,uM,58.0,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(=C/c2ccccc2)/OC1=O,420.54900000000015,4.808900000000005,2,4,4.236572006437063
CHEMBL307429,IC50,nM,2000.0,IC50,uM,2.0,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,163.173,-2.9667999999999988,5,5,5.698970004336019
CHEMBL1561,IC50,nM,6000.0,IC50,uM,6.0,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,207.226,-3.262099999999999,5,6,5.221848749616356
CHEMBL1029,IC50,nM,9000.0,IC50,uM,9.0,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,219.28099999999998,-1.4542999999999995,4,5,5.045757490560675
CHEMBL574645,IC50,nM,4000.0,IC50,uM,4.0,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,397.55600000000027,1.148899999999999,4,6,5.3979400086720375
CHEMBL175901,IC50,nM,1000000.0,IC50,uM,1000.0,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,163.173,-2.9667999999999988,5,5,3.0
CHEMBL1076754,IC50,nM,1000000.0,IC50,uM,1000.0,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,219.28099999999998,-1.4542999999999995,4,5,3.0
CHEMBL1086996,IC50,nM,1000000.0,IC50,uM,1000.0,OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,397.55600000000027,1.148899999999999,4,6,3.0
CHEMBL110458,IC50,nM,1500.0,IC50,uM,1.5,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,163.173,-2.9667999999999988,5,5,5.823908740944319
CHEMBL1086997,IC50,nM,10000.0,IC50,uM,10.0,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,219.28099999999998,-1.4542999999999995,4,5,5.0
CHEMBL1088158,IC50,nM,15000.0,IC50,uM,15.0,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,397.55600000000027,1.148899999999999,4,6,4.823908740944319
CHEMBL179409,IC50,nM,1000000.0,IC50,uM,1000.0,OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O,163.173,-2.9667999999999988,5,5,3.0
CHEMBL1088291,IC50,nM,1000000.0,IC50,uM,1000.0,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1CO,219.28099999999998,-1.4542999999999995,4,5,3.0
CHEMBL1088292,IC50,nM,1000000.0,IC50,uM,1000.0,OC[C@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,397.55600000000027,1.148899999999999,4,6,3.0
CHEMBL1089559,Ki,nM,200.0,Ki,uM,0.2,O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,424.44600000000014,-6.017699999999992,8,12,6.698970004336019
CHEMBL1093264,Ki,nM,190.0,Ki,uM,0.19,O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,424.44600000000014,-6.017699999999992,8,12,6.721246399047171
CHEMBL1093524,Ki,nM,100.0,Ki,uM,0.1,O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,424.44600000000014,-6.017699999999992,8,12,7.0
CHEMBL1093525,Ki,nM,130.0,Ki,uM,0.13,O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,424.44600000000014,-6.017699999999992,8,12,6.886056647693163
CHEMBL1258528,Ki,nM,170.0,Ki,uM,0.17,O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,394.4200000000001,-5.378599999999993,7,11,6.769551078621726
CHEMBL1258529,Ki,nM,43.0,Ki,uM,0.043,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[Cl-],350.817,-7.859099999999992,8,8,7.366531544420414
CHEMBL1258643,Ki,nM,15.0,Ki,uM,0.015,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],350.817,-7.859099999999996,8,8,7.823908740944319
CHEMBL1258644,Ki,nM,500.0,Ki,uM,0.5,CO[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],364.84400000000005,-7.204999999999993,7,8,6.301029995663981
