canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
COc1cc(O)c2c(=O)c3c(O)c(O[C@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]4O)ccc3oc2c1OC,CHEMBL5287620,IC50,nM,394900.0,IC50,uM,394.9
COc1cc(O)c2c(=O)c3c(O)c(O[C@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]4O)ccc3oc2c1,CHEMBL5266980,IC50,nM,115000.0,IC50,uM,115.0
COc1cc(O[C@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,CHEMBL5279492,IC50,nM,83800.0,IC50,uM,83.8
COc1cc(O)c2c(=O)c3c(OC)cc(O)cc3oc2c1OC,CHEMBL5270478,IC50,nM,500000.0,IC50,uM,500.0
COc1cc(O)c2c(=O)c3c(OC)c(O)ccc3oc2c1,CHEMBL467590,IC50,nM,500000.0,IC50,uM,500.0
COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1OC,CHEMBL1709767,IC50,nM,5420.0,IC50,uM,5.42
COc1cc(O)c2c(=O)c3c(O)c(OC)ccc3oc2c1,CHEMBL3704820,IC50,nM,107800.0,IC50,uM,107.8
COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,CHEMBL26323,IC50,nM,142100.0,IC50,uM,142.1
COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,CHEMBL187044,IC50,nM,30600.0,IC50,uM,30.6
O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,CHEMBL184574,IC50,nM,5300.0,IC50,uM,5.3
COc1cc(O)c2c(=O)c3c(OC)c(O)ccc3oc2c1OC,CHEMBL3093493,IC50,nM,77400.0,IC50,uM,77.4
COc1cc(O)c2c(=O)c3c(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)ccc3oc2c1,CHEMBL2409395,IC50,nM,75800.0,IC50,uM,75.8
O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c12,CHEMBL512072,IC50,nM,500000.0,IC50,uM,500.0
COc1cc(O)c2c(=O)c3c(O)c(O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)ccc3oc2c1,CHEMBL5271324,IC50,nM,31100.0,IC50,uM,31.1
O=c1c2c(O)c(O)ccc2oc2cc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,CHEMBL5267559,IC50,nM,140400.0,IC50,uM,140.4
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,39800.0,IC50,uM,39.8
O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c12,CHEMBL4856778,IC50,nM,13300.0,IC50,uM,13.3
COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1O,CHEMBL5282121,IC50,nM,71600.0,IC50,uM,71.6
COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1OC,CHEMBL5287329,IC50,nM,18300.0,IC50,uM,18.3
O=c1c2c(O)cc(O)cc2oc2ccc(O)c(O)c12,CHEMBL187043,IC50,nM,7300.0,IC50,uM,7.3
COc1cc(O[C@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)c2c(=O)c3ccc(O)c(OC)c3oc2c1,CHEMBL5287286,IC50,nM,87600.0,IC50,uM,87.6
COc1cc(O)c2c(=O)c3c(O)c(O[C@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]4O)ccc3oc2c1OC,CHEMBL5287620,IC50,nM,134500.0,IC50,uM,134.5
COc1cc(O)c2c(=O)c3c(O)c(O[C@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]4O)ccc3oc2c1,CHEMBL5266980,IC50,nM,395000.0,IC50,uM,395.0
COc1cc(O)c2c(=O)c3cc(O[C@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]4O)ccc3oc2c1OC,CHEMBL5290427,IC50,nM,114800.0,IC50,uM,114.8
COc1cc(O)c2c(=O)c3c(OC)cc(O)cc3oc2c1OC,CHEMBL5270478,IC50,nM,20200.0,IC50,uM,20.2
COc1cc(O)c2c(=O)c3c(O)c(OC)ccc3oc2c1,CHEMBL3704820,IC50,nM,108200.0,IC50,uM,108.2
COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,CHEMBL26323,IC50,nM,142200.0,IC50,uM,142.2
O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,CHEMBL184574,IC50,nM,5200.0,IC50,uM,5.2
COc1cc(O)c2c(=O)c3c(O)c(O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)ccc3oc2c1,CHEMBL5271324,IC50,nM,31600.0,IC50,uM,31.6
COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1,CHEMBL219553,IC50,nM,103100.0,IC50,uM,103.1
COc1cc(O)cc(CCc2cccc(O)c2)c1,CHEMBL450788,IC50,nM,148800.0,IC50,uM,148.8
COc1ccc(CCc2cc(O)c(O)c(OC)c2)cc1,CHEMBL5282250,IC50,nM,199500.0,IC50,uM,199.5
COc1cc([C@@H]2Oc3cc(CCc4ccc(O)cc4)cc(OC)c3O[C@H]2CO)cc(OC)c1O,CHEMBL5281130,IC50,nM,9460000.0,IC50,uM,9460.0
COc1cc(CCc2cccc(O)c2)cc(O)c1O,CHEMBL5266364,IC50,nM,213900.0,IC50,uM,213.9
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,763500.0,IC50,uM,763.5
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,750000.0,IC50,uM,750.0
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)NCc2ccc(C)cc2)nn1,CHEMBL5271893,IC50,nM,5400.0,IC50,uM,5.4
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)NCc2ccccc2)nn1,CHEMBL5277262,IC50,nM,11600.0,IC50,uM,11.6
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)Nc2ccc([N+](=O)[O-])cc2)nn1,CHEMBL5281806,IC50,nM,6000.0,IC50,uM,6.0
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)Nc2ccc(Br)cc2)nn1,CHEMBL5266791,IC50,nM,140200.0,IC50,uM,140.2
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)Nc2ccc(Cl)cc2)nn1,CHEMBL5282594,IC50,nM,6700.0,IC50,uM,6.7
COc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3OC)nn2)cc1,CHEMBL5268812,IC50,nM,5000.0,IC50,uM,5.0
CCc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3OC)nn2)cc1,CHEMBL5277625,IC50,nM,7200.0,IC50,uM,7.2
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)Nc2ccc(C)cc2C)nn1,CHEMBL5287920,IC50,nM,10600.0,IC50,uM,10.6
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)Nc2ccc(C)cc2)nn1,CHEMBL5287798,IC50,nM,13000.0,IC50,uM,13.0
COc1cc(C2Nc3ccccc3C(=O)N2Nc2ccccc2)ccc1OCc1cn(CC(=O)Nc2ccccc2)nn1,CHEMBL5275387,IC50,nM,11700.0,IC50,uM,11.7
Cc1ccc(CNC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3)nn2)cc1,CHEMBL5268702,IC50,nM,8300.0,IC50,uM,8.3
O=C(Cn1cc(COc2ccc(C3Nc4ccccc4C(=O)N3Nc3ccccc3)cc2)nn1)NCc1ccccc1,CHEMBL5286942,IC50,nM,12000.0,IC50,uM,12.0
O=C(Cn1cc(COc2ccc(C3Nc4ccccc4C(=O)N3Nc3ccccc3)cc2)nn1)Nc1ccc([N+](=O)[O-])cc1,CHEMBL5279383,IC50,nM,12000.0,IC50,uM,12.0
O=C(Cn1cc(COc2ccc(C3Nc4ccccc4C(=O)N3Nc3ccccc3)cc2)nn1)Nc1ccc(Br)cc1,CHEMBL5283167,IC50,nM,8000.0,IC50,uM,8.0
O=C(Cn1cc(COc2ccc(C3Nc4ccccc4C(=O)N3Nc3ccccc3)cc2)nn1)Nc1ccc(Cl)cc1,CHEMBL5280846,IC50,nM,15300.0,IC50,uM,15.3
COc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3)nn2)cc1,CHEMBL5277603,IC50,nM,42600.0,IC50,uM,42.6
CCc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3)nn2)cc1,CHEMBL5287039,IC50,nM,14700.0,IC50,uM,14.7
Cc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3)nn2)c(C)c1,CHEMBL5279273,IC50,nM,4800.0,IC50,uM,4.8
Cc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3)nn2)cc1,CHEMBL5271794,IC50,nM,95600.0,IC50,uM,95.6
O=C(Cn1cc(COc2ccc(C3Nc4ccccc4C(=O)N3Nc3ccccc3)cc2)nn1)Nc1ccccc1,CHEMBL5278958,IC50,nM,16600.0,IC50,uM,16.6
COc1ccc(-c2ncc(NC(=O)Cn3cc(COc4ccc(-c5nc6ccccc6[nH]5)cc4)nn3)s2)cc1,CHEMBL5270724,IC50,nM,6310.0,IC50,uM,6.31
CCc1ccc(NC(=O)Cn2cc(COc3ccc(-c4nc5ccccc5[nH]4)cc3)nn2)cc1,CHEMBL5277400,IC50,nM,25200.0,IC50,uM,25.2
Cc1ccc(NC(=O)Cn2cc(COc3ccc(C4Nc5ccccc5C(=O)N4Nc4ccccc4)cc3)nn2)c(C)c1,CHEMBL5279273,Ki,nM,4800.0,Ki,uM,4.8
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,26100.0,IC50,uM,26.1
O=C(Cn1c(Cc2ccc(Br)cc2)nc2ccccc2c1=O)NNC(=O)c1cc2ccccc2oc1=O,CHEMBL4128298,IC50,nM,7300.0,IC50,uM,7.3
O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,CHEMBL30707,IC50,nM,6000.0,IC50,uM,6.0
COc1ccc2c(c1)OC[C@H]1c3ccc(OC)c(O)c3O[C@@H]21,CHEMBL5279690,IC50,nM,128100.0,IC50,uM,128.1
COc1ccc2c(c1OC)O[C@H]1c3ccc(O)cc3OC[C@@H]21,CHEMBL5269655,IC50,nM,174200.0,IC50,uM,174.2
CC1(C)C=Cc2c(ccc3c2OC2c4ccc(O)cc4OCC32)O1,CHEMBL5290636,IC50,nM,6000.0,IC50,uM,6.0
O=c1oc2ccc(Cl)cc2c(O)c1C(c1cccc([N+](=O)[O-])c1)c1c(O)c2cc(Cl)ccc2oc1=O,CHEMBL3264731,IC50,nM,27070.0,IC50,uM,27.07
O=c1oc2ccc(Cl)cc2c(O)c1C(c1ccc(Cl)cc1Cl)c1c(O)c2cc(Cl)ccc2oc1=O,CHEMBL3264730,IC50,nM,16540.0,IC50,uM,16.54
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,906000.0,IC50,uM,906.0
COc1cc(C(c2c(O)c3cc(C)ccc3oc2=O)c2c(O)c3cc(C)ccc3oc2=O)cc(OC)c1OC,CHEMBL3264720,IC50,nM,385990.0,IC50,uM,385.99
CCOc1cc(C(c2c(O)c3cc(C)ccc3oc2=O)c2c(O)c3cc(C)ccc3oc2=O)ccc1O,CHEMBL3264733,IC50,nM,221060.0,IC50,uM,221.06
COc1ccc(C(c2c(O)c3cc(C)ccc3oc2=O)c2c(O)c3cc(C)ccc3oc2=O)cc1,CHEMBL3264735,IC50,nM,106630.0,IC50,uM,106.63
COc1ccc(C(c2c(O)c3cc(Cl)ccc3oc2=O)c2c(O)c3cc(Cl)ccc3oc2=O)cc1O,CHEMBL3264726,IC50,nM,113050.0,IC50,uM,113.05
O=c1oc2ccc(Cl)cc2c(O)c1C(c1cccc(O)c1)c1c(O)c2cc(Cl)ccc2oc1=O,CHEMBL3264725,IC50,nM,84060.0,IC50,uM,84.06
COc1cc(C(c2c(O)c3cc(Cl)ccc3oc2=O)c2c(O)c3cc(Cl)ccc3oc2=O)ccc1O,CHEMBL3264724,IC50,nM,83640.0,IC50,uM,83.64
CCOc1cc(C(c2c(O)c3cc(Cl)ccc3oc2=O)c2c(O)c3cc(Cl)ccc3oc2=O)ccc1O,CHEMBL3264727,IC50,nM,57140.0,IC50,uM,57.14
COc1cc(C(c2c(O)c3cc(Cl)ccc3oc2=O)c2c(O)c3cc(Cl)ccc3oc2=O)cc(OC)c1OC,CHEMBL3264728,IC50,nM,128140.0,IC50,uM,128.14
COc1ccc(C(c2c(O)c3cc(Cl)ccc3oc2=O)c2c(O)c3cc(Cl)ccc3oc2=O)cc1OC,CHEMBL3264729,IC50,nM,91360.0,IC50,uM,91.36
NS(=O)(=O)c1ccc(/N=C2\NC(=O)/C(=C\c3ccccc3)S2)cc1,CHEMBL5559448,IC50,nM,691.0,IC50,uM,0.691
COc1ccc(/C=C2/S/C(=N/c3ccc(S(N)(=O)=O)cc3)NC2=O)cc1,CHEMBL5512544,IC50,nM,475.0,IC50,uM,0.475
NS(=O)(=O)c1ccc(/N=C2\NC(=O)/C(=C\c3ccc(Cl)cc3)S2)cc1,CHEMBL5532288,IC50,nM,1646.0,IC50,uM,1.646
NS(=O)(=O)c1ccc(/N=C2\NC(=O)/C(=C\c3ccc(F)cc3)S2)cc1,CHEMBL5555209,IC50,nM,440.0,IC50,uM,0.44
CN1C(=O)/C(=C\c2ccccc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5556832,IC50,nM,346.0,IC50,uM,0.346
COc1ccc(/C=C2/S/C(=N/c3ccc(S(N)(=O)=O)cc3)N(C)C2=O)cc1,CHEMBL5517809,IC50,nM,3346.0,IC50,uM,3.346
CN1C(=O)/C(=C\c2ccc(Cl)cc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5555959,IC50,nM,1387.0,IC50,uM,1.387
CN1C(=O)/C(=C\c2ccc(F)cc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5558583,IC50,nM,860.0,IC50,uM,0.86
CCN1C(=O)/C(=C\c2ccccc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5549876,IC50,nM,2025.0,IC50,uM,2.025
CCN1C(=O)/C(=C\c2ccc(OC)cc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5527910,IC50,nM,1085.0,IC50,uM,1.085
CCN1C(=O)/C(=C\c2ccc(Cl)cc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5505787,IC50,nM,447.0,IC50,uM,0.447
CCN1C(=O)/C(=C\c2ccc(F)cc2)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5556926,IC50,nM,1276.0,IC50,uM,1.276
NS(=O)(=O)c1ccc(/N=C2\NC(=O)/C(=C3\C(=O)Nc4ccccc43)S2)cc1,CHEMBL5523415,IC50,nM,1833.0,IC50,uM,1.833
CN1C(=O)/C(=C2\C(=O)Nc3ccccc32)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5555863,IC50,nM,599.0,IC50,uM,0.599
CCN1C(=O)/C(=C2\C(=O)Nc3ccccc32)S/C1=N/c1ccc(S(N)(=O)=O)cc1,CHEMBL5555903,IC50,nM,978.0,IC50,uM,0.978
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,421.0,IC50,uM,0.421
Cc1ccc(S(=O)(=O)Oc2ccc(/C=N/N=C3/NC(=O)CS3)cc2)cc1,CHEMBL5558505,IC50,nM,420.0,IC50,uM,0.42
O=C1N/C(=N\c2nccs2)S/C1=C\c1cc(C(F)(F)F)c2scnc2c1O,CHEMBL5557090,IC50,nM,3200.0,IC50,uM,3.2
Cc1ccc(N2C(=O)CS/C2=N\N=C(\CSc2nc3ccccc3[nH]2)c2ccc(Cl)cc2)cc1,CHEMBL5556230,IC50,nM,9800.0,IC50,uM,9.8
O=C1CSC(c2ccc([N+](=O)[O-])cc2)N1Cc1ccc2c(c1)OCO2,CHEMBL5517665,IC50,nM,5900.0,IC50,uM,5.9
O=C1N/C(=N\c2nccs2)S/C1=C\c1ccc(F)cc1,CHEMBL2315734,IC50,nM,2400.0,IC50,uM,2.4
COc1ccc(-c2[nH]c3c(c2CC#N)c(=O)oc2ccccc23)cc1,CHEMBL5395316,IC50,nM,48650.0,IC50,uM,48.65
O=C1Nc2ccccc2/C1=N/N=C/c1ccc(OCc2cn(Cc3ccccc3F)nn2)cc1,CHEMBL5560020,IC50,nM,16430.0,IC50,uM,16.43
O=C(N/N=C/c1ccccc1)c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,CHEMBL5555649,IC50,nM,20.0,IC50,uM,0.02
COc1cc(-c2nc3ccccc3[nH]2)ccc1OCc1cn(CC(=O)Nc2cnc(-c3ccccc3)s2)nn1,CHEMBL5430942,IC50,nM,6310.0,IC50,uM,6.31
Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,CHEMBL389656,IC50,nM,74320.0,IC50,uM,74.32
c1ccc2ncccc2c1,CHEMBL14474,IC50,nM,622400.0,IC50,uM,622.4
O=C(O)c1ccc2ccccc2n1,CHEMBL1160559,IC50,nM,53600.0,IC50,uM,53.6
O=C(O)c1cnc2ccccc2c1,CHEMBL275098,IC50,nM,63000.0,IC50,uM,63.0
CCOC(=O)c1c(SCC(=O)Nc2ccccc2)nnc(-c2ccccc2)c1-c1ccccc1,CHEMBL5566368,IC50,nM,70100.0,IC50,uM,70.1
O=C(NNC(=S)Nc1ccccc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5590239,IC50,nM,11020.0,IC50,uM,11.02
O=C(NNC(=S)Nc1ccccc1F)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5592521,IC50,nM,9800.0,IC50,uM,9.8
O=C(NNC(=S)Nc1cccc(F)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5594219,IC50,nM,5260.0,IC50,uM,5.26
O=C(NNC(=S)Nc1ccc(F)cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5594736,IC50,nM,9240.0,IC50,uM,9.24
O=C(NNC(=S)Nc1ccccc1Cl)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5591690,IC50,nM,8470.0,IC50,uM,8.47
O=C(NNC(=S)Nc1cccc(Cl)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5592850,IC50,nM,6690.0,IC50,uM,6.69
O=C(NNC(=S)Nc1ccc(Cl)cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5595989,IC50,nM,6260.0,IC50,uM,6.26
O=C(NNC(=S)Nc1ccccc1Br)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5584200,IC50,nM,9410.0,IC50,uM,9.41
O=C(NNC(=S)Nc1cccc(Br)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5591376,IC50,nM,4170.0,IC50,uM,4.17
O=C(NNC(=S)Nc1ccc(Br)cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5594910,IC50,nM,3210.0,IC50,uM,3.21
Cc1ccccc1NC(=S)NNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5595852,IC50,nM,12400.0,IC50,uM,12.4
Cc1cccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c1,CHEMBL5595782,IC50,nM,6040.0,IC50,uM,6.04
Cc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc1,CHEMBL5590445,IC50,nM,6550.0,IC50,uM,6.55
O=C(NNC(=S)Nc1ccccc1C(F)(F)F)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5592894,IC50,nM,5240.0,IC50,uM,5.24
O=C(NNC(=S)Nc1cccc(C(F)(F)F)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5594439,IC50,nM,3990.0,IC50,uM,3.99
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5594432,IC50,nM,3840.0,IC50,uM,3.84
O=C(NNC(=S)Nc1ccccc1OC(F)(F)F)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5595481,IC50,nM,10990.0,IC50,uM,10.99
O=C(NNC(=S)Nc1ccc(OC(F)(F)F)cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5592136,IC50,nM,3860.0,IC50,uM,3.86
COc1ccccc1NC(=S)NNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5593118,IC50,nM,11980.0,IC50,uM,11.98
COc1cccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c1,CHEMBL5589774,IC50,nM,8980.0,IC50,uM,8.98
COc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc1,CHEMBL5589860,IC50,nM,11230.0,IC50,uM,11.23
CCOc1ccccc1NC(=S)NNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5593720,IC50,nM,4620.0,IC50,uM,4.62
CCOc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc1,CHEMBL5594123,IC50,nM,4440.0,IC50,uM,4.44
O=C(NNC(=S)Nc1ccc(Oc2ccccc2)cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5591395,IC50,nM,3090.0,IC50,uM,3.09
O=C(NNC(=S)Nc1cccc(OCc2ccccc2)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5594964,IC50,nM,2950.0,IC50,uM,2.95
O=C(NNC(=S)Nc1cccc([N+](=O)[O-])c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5589972,IC50,nM,2810.0,IC50,uM,2.81
O=C(NNC(=S)Nc1ccc([N+](=O)[O-])cc1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5595235,IC50,nM,10990.0,IC50,uM,10.99
O=C(NNC(=S)Nc1ccc(F)c(F)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5590835,IC50,nM,3660.0,IC50,uM,3.66
Cc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c(C)c1,CHEMBL5583905,IC50,nM,8510.0,IC50,uM,8.51
Cc1ccc(C)c(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c1,CHEMBL5595072,IC50,nM,4590.0,IC50,uM,4.59
Cc1cccc(C)c1NC(=S)NNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5595016,IC50,nM,10460.0,IC50,uM,10.46
COc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c(OC)c1,CHEMBL5589699,IC50,nM,6880.0,IC50,uM,6.88
COc1ccc(OC)c(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c1,CHEMBL5590184,IC50,nM,5170.0,IC50,uM,5.17
COc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc1OC,CHEMBL5592227,IC50,nM,8300.0,IC50,uM,8.3
COc1cc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc(OC)c1,CHEMBL5592116,IC50,nM,5900.0,IC50,uM,5.9
COc1cc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc(OC)c1OC,CHEMBL5592418,IC50,nM,12250.0,IC50,uM,12.25
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,564280.0,IC50,uM,564.28
O=C(NNC(=S)Nc1cccc([N+](=O)[O-])c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,CHEMBL5589972,Ki,nM,1000.0,Ki,uM,1.0
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,42450.0,IC50,uM,42.45
O=S(=O)(NCCc1c[nH]c2ccccc12)c1cc(F)ccc1Cl,CHEMBL5420199,IC50,nM,1600.0,IC50,uM,1.6
