canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccccc2)OC1=O,CHEMBL238603,IC50,nM,58000.0,IC50,uM,58.0
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL307429,IC50,nM,2000.0,IC50,uM,2.0
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1561,IC50,nM,6000.0,IC50,uM,6.0
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1029,IC50,nM,9000.0,IC50,uM,9.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,CHEMBL574645,IC50,nM,4000.0,IC50,uM,4.0
OC[C@@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL175901,IC50,nM,1000000.0,IC50,uM,1000.0
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,CHEMBL1076754,IC50,nM,1000000.0,IC50,uM,1000.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,CHEMBL1086996,IC50,nM,1000000.0,IC50,uM,1000.0
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL110458,IC50,nM,1500.0,IC50,uM,1.5
CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,CHEMBL1086997,IC50,nM,10000.0,IC50,uM,10.0
OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,CHEMBL1088158,IC50,nM,15000.0,IC50,uM,15.0
OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL179409,IC50,nM,1000000.0,IC50,uM,1000.0
CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1CO,CHEMBL1088291,IC50,nM,1000000.0,IC50,uM,1000.0
OC[C@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,CHEMBL1088292,IC50,nM,1000000.0,IC50,uM,1000.0
O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1089559,Ki,nM,200.0,Ki,uM,0.2
O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1093264,Ki,nM,190.0,Ki,uM,0.19
O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1093524,Ki,nM,100.0,Ki,uM,0.1
O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)[C@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1093525,Ki,nM,130.0,Ki,uM,0.13
O=S(=O)([O-])O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1258528,Ki,nM,170.0,Ki,uM,0.17
OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[Cl-],CHEMBL1258529,Ki,nM,43.0,Ki,uM,0.043
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL1258643,Ki,nM,15.0,Ki,uM,0.015
CO[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL1258644,Ki,nM,500.0,Ki,uM,0.5
O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1093264,Ki,nM,190.0,Ki,uM,0.19
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1561,Ki,nM,1000.0,Ki,uM,1.0
OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[Cl-],CHEMBL1276973,Ki,nM,30.0,Ki,uM,0.03
